Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 TMUA Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUC Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUA Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUC Eb/N0 Strength (dB),X-Band VTR Tracking Receiver  Strength (dB),Cortex HDR-XXL 1 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 1 DMU1 Q Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 Q Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Bit Sync,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 1 TMUC PSK Demod,Cortex CRT-XL 1 TMUC Bit Sync,Cortex CRT-XL 1 TMUC Frame Sync,Cortex CRT-XL 1 TMUC Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Bit Sync,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,Cortex CRT-XL 2 TMUC PSK Demod,Cortex CRT-XL 2 TMUC Bit Sync,Cortex CRT-XL 2 TMUC Frame Sync,Cortex CRT-XL 2 TMUC Viterbi,X-Band VTR Tracking Receiver Status,Cortex HDR-XXL 1 DMU1 Carrier,Cortex HDR-XXL 1 DMU1 Bit Sync,Cortex HDR-XXL 1 DMU1 Bit Sync Q,Cortex HDR-XXL 1 DMU1 Viterbi,Cortex HDR-XXL 1 DMU1 Viterbi Q,Cortex HDR-XXL 1 DMX1 Frame Sync,Cortex HDR-XXL 1 DPU1 Frame Sync,Cortex HDR-XXL 2 DMU1 Carrier,Cortex HDR-XXL 2 DMU1 Bit Sync,Cortex HDR-XXL 2 DMU1 Bit Sync Q,Cortex HDR-XXL 2 DMU1 Viterbi,Cortex HDR-XXL 2 DMU1 Viterbi Q,Cortex HDR-XXL 2 DMX1 Frame Sync,Cortex HDR-XXL 2 DPU1 Frame Sync,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm),X-Band VTR Tracking Receiver Strength (dBm),Cortex HDR-XXL 1 DMU1 IF Level Strength (dBm),Cortex HDR-XXL 2 DMU1 IF Level Strength (dBm)
2024 236 15:10:49,  19.574,  4.751, 19.573,  4.752,0, 28.5, 28.5, -5.0,  0.2,  0.0, -0.1,  0.1, -39.0, -128.0,  0.0, -39.0, -39.0,  0.0, 27.9, -8.3, -9.8, -8.1, -6.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.5, -78.5, -112.1, -106.8, -107.0, -129.1, -128.9, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -91.1, -78.3, -76.3
2024 236 15:10:50,  19.496,  4.815, 19.495,  4.815,0, 28.7, 28.7, -5.0,  0.2,  0.0, -0.1,  0.1, -39.0, -39.0,  0.0, -39.0, -39.0,  0.0, 27.9, -7.5, -7.7, -8.1, -6.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.3, -78.3, -112.0, -106.8, -107.0, -129.1, -128.9, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -91.1, -78.3, -76.3
2024 236 15:10:51,  19.417,  4.878, 19.417,  4.878,0, 28.8, 28.8, -4.9,  0.2,  0.0, -0.1,  0.1, -39.0, -39.0,  0.0, -39.0, -39.0,  0.0, 28.3, -7.5, -7.7, -6.4, -4.9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.2, -78.2, -111.9, -106.8, -107.0, -129.1, -128.9, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -90.7, -78.3, -76.2
2024 236 15:10:52,  19.339,  4.941, 19.339,  4.941,0, 28.9, 28.9, 19.6, 15.3,  0.0, -0.1,  0.1, -37.4, -38.4,  0.0, -39.0, -39.0,  0.0, 28.3, -7.5, -7.7, -6.4, -4.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.1, -78.1, -87.4, -91.7, -107.0, -129.1, -128.9, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -90.7, -78.3, -76.2
2024 236 15:10:53,  19.252,  5.011, 19.252,  5.011,0, 28.8, 28.8, 18.8, 12.9,  0.0, -0.1,  0.1, 12.1,  3.3,  0.0, 11.7, -10.6,  0.0, 28.3, -7.5, -7.7, -6.4, -4.9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.2, -78.2, -88.2, -94.1, -107.0, -129.1, -128.9, -53.3, -60.8, -128.0, -51.2, -59.1, -128.0, -90.7, -78.3, -76.2
2024 236 15:10:54,  19.182,  5.067, 19.181,  5.069,0, 29.0, 29.0, 18.8, 11.3,  0.0, 23.5, 12.1, 13.6, 11.1,  0.0, 14.0,  4.8,  0.0, 28.3, -7.5, -7.7, -6.4, -4.9, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.0, -78.0, -88.3, -95.7, -107.0, -105.5, -116.9, -56.0, -64.5, -128.0, -55.4, -63.2, -128.0, -90.7, -78.3, -76.2
2024 236 15:10:55,  19.101,  5.132, 19.102,  5.132,0, 28.9, 28.9, 18.6, 11.0,  0.0, 23.5, 12.1, 17.5, 14.4,  0.0, 18.1, 15.2,  0.0, 28.3, -7.9, -5.5, -6.4, -4.9, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.1, -78.1, -88.4, -96.0, -107.0, -105.5, -116.9, -56.5, -64.9, -128.0, -56.5, -64.7, -128.0, -90.7, -78.4, -76.2
2024 236 15:10:56,  19.021,  5.197, 19.021,  5.196,0, 28.9, 28.9, 18.6, 11.0,  0.0, 23.5, 12.1, 18.4, 15.1,  0.0, 18.4, 15.2,  0.0, 28.5, -7.9, -5.5, -6.3, -3.5, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.1, -78.1, -88.4, -96.0, -107.0, -105.5, -116.9, -56.5, -65.1, -128.0, -56.3, -65.3, -128.0, -90.5, -78.4, -76.2
2024 236 15:10:57,  18.942,  5.261, 18.941,  5.261,0, 28.7, 28.7, 18.6, 11.3,  0.0, 23.5, 12.1, 18.4, 15.1,  0.0, 18.4, 15.1,  0.0, 28.5, -7.9, -5.5, -6.3, -3.5, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78.3, -78.3, -88.4, -95.7, -107.0, -105.5, -116.9, -56.3, -64.5, -128.0, -56.3, -64.8, -128.0, -90.5, -78.4, -76.2
2024 236 15:10:58,  18.861,  5.325, 18.860,  5.325,0, 29.1, 29.1, 18.8, 12.4,  0.0, 23.5, 12.1, 18.4, 15.2,  0.0, 18.5, 15.2,  0.0, 28.5, -7.9, -5.5, -6.3, -3.5, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -77.9, -77.9, -88.2, -94.6, -107.0, -105.5, -116.9, -56.5, -63.7, -128.0, -56.1, -63.8, -128.0, -90.5, -78.4, -76.2
