Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 1 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR1 Bit Sync,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR2 Bit Sync,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR1 Bit Sync,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR2 Bit Sync,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,PTP 1 Input 1 Status,PTP 1 Input 2 Status,PTP 1 Input 3 Status,PTP 1 Input 4 Status,PTP 1 Input 5 Status,PTP 2 Input 1 Status,PTP 2 Input 2 Status,PTP 2 Input 3 Status,PTP 2 Input 4 Status,PTP 2 Input 5 Status,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm)
2024 235 23:09:41, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -4.9,  0.2,  0.0,  0.1,  0.0,  0.0,  0.0, -39.0,  0.0,  0.0, -39.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.7, -106.7, -111.9, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:42, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -4.8,  0.2,  0.0,  0.1,  0.0,  0.0,  0.0, -39.0,  0.0,  0.0, -39.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -111.8, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:43, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.0,  0.2,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:44, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.4,  0.3,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.4, -106.7, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:45, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.7, -106.7, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:46, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:09:47, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.7, -106.7, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:48, 355.061, 83.164,355.061, 83.164,0,  0.3,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:49, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.3, -5.0,  0.6, -0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.0, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:50, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -29.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:51, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.3, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -26.0, -25.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.0, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -65.6, -128.0
2024 235 23:09:52, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.2, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -26.0, -25.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.0, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -65.6, -128.0
2024 235 23:09:53, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.3, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0, -128.0, -128.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -128.0, -128.0
2024 235 23:09:54, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.2, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -30.1, -128.0,  5.2, -26.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.5, -106.8, -112.1, -106.5, -107.0, -128.9, -129.0, -128.0, -128.0, -110.4, -128.0, -64.9, -128.0
2024 235 23:09:55, 355.061, 83.164,355.061, 83.164,0,  0.5,  0.2, -5.1,  0.5,  0.0,  0.1,  0.0, -128.0, -128.0, -7.7, -128.0, -5.1, -18.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.5, -106.8, -112.1, -106.5, -107.0, -128.9, -129.0, -128.0, -128.0, -106.3, -128.0, -64.6, -128.0
2024 235 23:09:56, 355.061, 83.164,355.061, 83.164,0,  0.6,  0.2, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -27.2, -128.0, -128.0, -26.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -114.5, -128.0, -128.0, -128.0
2024 235 23:09:57, 355.061, 83.145,355.061, 83.145,0,  0.6,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -2.4, -26.7, -128.0, -128.0, -26.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -64.5, -106.4, -128.0, -128.0, -128.0
2024 235 23:09:58, 355.061, 83.145,355.061, 83.145,0,  0.6,  0.2, -5.0,  0.6,  0.0,  0.1,  0.0, -6.4, -128.0, -27.0, -128.0, -14.7, -26.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -64.7, -128.0, -128.0, -128.0, -64.8, -128.0
2024 235 23:09:59, 355.061, 83.145,355.061, 83.145,0,  0.6,  0.2, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0,  5.2, -26.9, -128.0, -128.0, -23.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.5, -106.8, -112.1, -106.5, -107.0, -128.9, -129.0, -128.0, -65.5, -105.1, -128.0, -128.0, -128.0
2024 235 23:10:00, 355.061, 83.145,355.061, 83.145,0,  0.6,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -5.6, -16.6, -128.0, -26.0, -16.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -64.6, -102.9, -128.0, -64.3, -128.0
2024 235 23:10:01, 355.061, 83.145,355.061, 83.145,0,  0.6,  0.2, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -128.0, -27.2, -19.4, -25.7, -13.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -128.0, -101.2, -64.4, -64.2, -128.0
2024 235 23:10:02, 355.061, 83.145,355.061, 83.145,0,  0.6,  0.2, -5.1,  0.6,  0.0,  0.1,  0.0, -128.0, -3.1, -27.2, -128.0,  6.2, -13.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -64.3, -99.2, -128.0, -64.5, -128.0
2024 235 23:10:03, 356.097, 83.145,356.097, 83.145,0,  0.6,  0.3, -5.1,  0.6,  0.0,  0.1,  0.0, -15.5, -128.0, -26.6, -128.0, -4.3, -19.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -62.6, -128.0, -128.0, -128.0, -62.6, -128.0
2024 235 23:10:04,   0.153, 83.145,  0.153, 83.145,0,  0.6,  0.2, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -26.0, -14.7, -26.0, -128.0, -26.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.0, -106.4, -107.0, -128.9, -129.0, -128.0, -66.2, -96.9, -66.4, -128.0, -128.0
2024 235 23:10:05,   4.737, 83.145,  4.737, 83.145,0,  0.6,  0.2, -5.0,  0.6,  0.0,  0.1,  0.0, -128.0, -14.4, -27.0, -21.3, -12.6, -24.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.4, -106.8, -112.1, -106.4, -107.0, -128.9, -129.0, -128.0, -63.1, -128.0, -63.7, -63.3, -128.0
2024 235 23:10:06,  10.280, 83.145, 10.280, 83.145,0,  0.2,  0.2, -4.9,  0.2,  0.0,  0.1,  0.0, -128.0, -128.0, -24.0, -128.0, -22.0, -26.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -67.2, -128.0
2024 235 23:10:07,  15.303, 83.145, 15.303, 83.145,0,  0.2,  0.2, -4.9,  0.2,  0.0,  0.1,  0.0, -128.0, -13.1, -26.8, -26.0, -128.0, -25.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -128.0, -66.7, -128.0, -66.4, -128.0, -128.0
2024 235 23:10:08,  20.318, 83.145, 20.318, 83.145,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.1,  0.0, -11.7, -128.0, -16.3, -128.0, -6.1, -26.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -63.2, -128.0, -128.0, -128.0, -62.5, -128.0
2024 235 23:10:09,  25.325, 83.145, 25.325, 83.145,0,  0.2,  0.3, -4.9,  0.2,  0.0,  0.1,  0.0, -5.6, -128.0, -26.0, -128.0, -7.3, -22.8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -111.9, -106.8, -107.0, -128.9, -129.0, -70.8, -128.0, -95.6, -128.0, -70.9, -128.0
2024 235 23:10:10,  30.327, 83.145, 30.327, 83.145,0,  0.2,  0.3, -4.9,  0.2,  0.0,  0.1,  0.0, -128.0, -128.0, -26.9, -128.0, -7.3, -26.6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -111.9, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -70.9, -128.0
2024 235 23:10:11,  34.623, 83.145, 34.623, 83.145,0,  0.2,  0.2, -4.9,  0.2,  0.0,  0.1,  0.0, -128.0, -18.3, -26.1, -128.0, -128.0, -23.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -111.9, -106.8, -107.0, -128.9, -129.0, -128.0, -69.1, -94.9, -128.0, -128.0, -128.0
2024 235 23:10:12,  36.512, 83.145, 36.512, 83.145,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.1,  0.0, -128.0, -128.0, -27.6, -128.0, -128.0, -25.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:10:13,  36.669, 83.145, 36.669, 83.145,0,  0.2,  0.3, -4.9,  0.2,  0.0,  0.1,  0.0, -7.6, -128.0, -26.5, -6.0,  3.5, -27.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -62.0, -128.0, -95.4, -61.7, -61.8, -128.0
2024 235 23:10:14,  36.614, 83.145, 36.614, 83.145,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.1,  0.0, -25.6, -128.0, -21.6, -6.9, -8.7, -26.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -62.4, -128.0, -106.0, -62.8, -62.6, -128.0
2024 235 23:10:15,  36.599, 83.145, 36.599, 83.145,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.1,  0.0, -128.0, -1.3, -26.7, -128.0, -128.0, -26.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -128.9, -129.0, -128.0, -62.7, -96.6, -128.0, -128.0, -128.0
2024 235 23:10:16,  36.599, 83.145, 36.599, 83.145,0,  0.2,  0.3, -4.9,  0.2,  0.0,  0.0, -0.0, -128.0, -128.0, -25.5, -128.0, -128.0, -23.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -129.0, -129.0, -128.0, -128.0, -97.2, -128.0, -128.0, -128.0
2024 235 23:10:17,  36.599, 83.145, 36.599, 83.145,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.0, -0.0, -20.9, -128.0, -26.7, -128.0, -128.0, -26.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.7, -112.0, -106.8, -107.0, -129.0, -129.0, -62.6, -128.0, -96.0, -128.0, -128.0, -128.0
2024 235 23:10:18,  36.599, 83.145, 36.599, 83.145,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.0, -0.0, -128.0, -17.4, -27.6, -128.0, -26.0, -26.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.9, -106.8, -112.0, -106.9, -107.0, -129.0, -129.0, -128.0, -62.3, -98.2, -128.0, -61.9, -128.0
2024 235 23:10:19,  36.599, 83.145, 36.599, 83.145,0,  0.2,  0.2, -4.9,  0.2,  0.0,  0.0, -0.0, -128.0, -128.0, -24.5, -128.0, -26.0, -6.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -129.0, -129.0, -128.0, -128.0, -96.2, -128.0, -62.4, -128.0
2024 235 23:10:20,  36.599, 83.145, 36.599, 83.145,0,  0.2,  0.2, -4.9,  0.2,  0.0,  0.0, -0.0, -128.0, -5.7, -26.8, -128.0, -128.0, -25.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -129.0, -129.0, -128.0, -63.0, -96.8, -128.0, -128.0, -128.0
2024 235 23:10:21,  36.599, 83.145, 36.599, 83.145,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.0, -0.0, -128.0, -13.7, -18.8, -128.0, -23.9, -26.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -129.0, -129.0, -128.0, -61.9, -95.8, -128.0, -61.7, -128.0
2024 235 23:10:22,  36.584, 83.145, 36.584, 83.145,0,  0.1,  0.2, -5.0,  0.1,  0.0,  0.0, -0.0, -128.0, -128.0, -27.2, -128.0, -7.9, -26.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.9, -106.8, -112.0, -106.9, -107.0, -129.0, -129.0, -128.0, -128.0, -95.7, -128.0, -61.1, -128.0
2024 235 23:10:23,  36.583, 83.145, 36.583, 83.145,0,  0.1,  0.3, -4.9,  0.1,  0.0,  0.0, -0.0, -128.0, -3.9, -25.1, -128.0, -128.0, -20.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.9, -106.7, -112.0, -106.9, -107.0, -129.0, -129.0, -128.0, -61.8, -95.4, -128.0, -128.0, -128.0
2024 235 23:10:24,  36.576, 82.885,313.737,  0.000,0,  0.1,  0.3, -4.9,  0.1,  0.0,  0.0, -0.0, -128.0, -128.0, -23.7, -128.0, -128.0, -24.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.9, -106.7, -112.0, -106.9, -107.0, -129.0, -129.0, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0
2024 235 23:10:25,  34.001, 77.424,313.737,  0.000,0,  0.2,  0.2, -4.9,  0.2,  0.0,  0.0, -0.0, -128.0, -26.0, -26.8, -128.0, -18.7, -27.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.8, -106.8, -112.0, -106.8, -107.0, -129.0, -129.0, -128.0, -60.0, -95.6, -128.0, -59.7, -128.0
2024 235 23:10:26,  28.273, 70.537,313.737,  0.000,0,  0.2,  0.3, -5.0,  0.2,  0.0,  0.0, -0.0, -128.0, -128.0, -27.8, -14.4, -128.0, -23.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106.9, -106.7, -112.0, -106.9, -107.0, -129.0, -129.0, -128.0, -128.0, -128.0, -71.0, -128.0, -128.0
