Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 1 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR1 Bit Sync,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR2 Bit Sync,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR1 Bit Sync,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR2 Bit Sync,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,PTP 1 Input 1 Status,PTP 1 Input 2 Status,PTP 1 Input 3 Status,PTP 1 Input 4 Status,PTP 1 Input 5 Status,PTP 2 Input 1 Status,PTP 2 Input 2 Status,PTP 2 Input 3 Status,PTP 2 Input 4 Status,PTP 2 Input 5 Status,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm)
2024 235 23:14:29, 319.843,  9.517,319.843,  9.518,0, 26.9,  0.7,  6.6, 26.9,  0.0, 11.3, 26.1, 14.9, 15.0, -27.0, 14.9, 15.0, -27.1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -80.1, -106.3, -100.5, -80.1, -107.0, -117.7, -102.9, -43.4, -43.4, -100.5, -43.4, -43.5, -128.0
2024 235 23:14:30, 319.904,  9.604,319.904,  9.603,0, 27.0,  0.7,  6.6, 27.0,  0.0, 11.3, 26.1, 15.1, 15.1, -14.1, 15.0, 15.0, -26.9, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -80.1, -106.3, -100.4, -80.1, -107.0, -117.7, -102.9, -43.3, -43.3, -100.5, -43.3, -43.4, -128.0
2024 235 23:14:31, 319.965,  9.689,319.964,  9.689,0, 26.9,  0.7,  6.6, 26.9,  0.0, 11.3, 26.1, 15.2, 15.2, -27.1, 15.1, 15.2, -26.9, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -80.1, -106.3, -100.4, -80.1, -107.0, -117.7, -102.9, -43.3, -43.4, -102.2, -43.3, -43.3, -128.0
2024 235 23:14:32, 320.020,  9.767,320.020,  9.767,0, 27.0,  0.7,  6.6, 27.0,  0.0, 11.3, 26.1, 15.3, 15.3, -25.6, 15.3, 15.4, -26.7, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -80.1, -106.3, -100.4, -80.1, -107.0, -117.7, -102.9, -43.4, -43.4, -100.2, -43.4, -43.3, -128.0
2024 235 23:14:33, 320.081,  9.853,320.081,  9.854,0, 27.0,  0.7,  6.7, 27.0, -0.0, 11.3, 26.1, 15.2, 15.2, -25.0, 15.3, 15.3, -27.0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -80.0, -106.3, -100.3, -80.0, -107.0, -117.7, -102.9, -43.3, -43.3, -128.0, -43.3, -43.2, -128.0
2024 235 23:14:34, 320.150,  9.949,320.150,  9.950,0, 27.0,  0.7,  6.6, 27.0,  0.0, 11.5, 26.4, 15.3, 15.3, -24.0, 15.4, 15.4, -26.8, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -80.0, -106.3, -100.4, -80.0, -107.0, -117.5, -102.6, -43.2, -43.3, -99.7, -43.3, -43.3, -128.0
2024 235 23:14:35, 320.213, 10.036,320.212, 10.037,0, 27.0,  0.7,  6.6, 27.0, -0.0, 11.5, 26.4, 15.4, 15.4, -27.4, 15.4, 15.4, -26.9, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -80.0, -106.3, -100.4, -80.0, -107.0, -117.5, -102.6, -43.2, -43.3, -109.7, -43.2, -43.2, -128.0
2024 235 23:14:36, 320.275, 10.125,320.275, 10.125,0, 27.1,  0.7,  6.7, 27.1,  0.0, 11.5, 26.4, 15.3, 15.3, -26.8, 15.3, 15.4, -27.0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.9, -106.3, -100.3, -79.9, -107.0, -117.5, -102.6, -43.1, -43.1, -99.6, -43.2, -43.0, -128.0
2024 235 23:14:37, 320.340, 10.214,320.338, 10.213,0, 27.2,  0.7,  6.8, 27.2,  0.0, 11.5, 26.4, 15.3, 15.3, -27.7, 15.3, 15.2, -26.7, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.8, -106.3, -100.2, -79.8, -107.0, -117.5, -102.6, -43.1, -43.1, -99.0, -43.0, -43.1, -128.0
2024 235 23:14:38, 320.402, 10.301,320.402, 10.302,0, 27.2,  0.7,  6.8, 27.2,  0.0, 11.5, 26.4, 15.3, 15.2, -24.1, 15.1, 15.2, -26.7, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -79.8, -106.3, -100.2, -79.8, -107.0, -117.5, -102.6, -43.2, -43.1, -98.4, -43.2, -43.1, -128.0
