Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 TMUA Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUC Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUA Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUC Eb/N0 Strength (dB),X-Band VTR Tracking Receiver  Strength (dB),Cortex HDR-XXL 1 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 1 DMU1 Q Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 Q Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Bit Sync,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 1 TMUC PSK Demod,Cortex CRT-XL 1 TMUC Bit Sync,Cortex CRT-XL 1 TMUC Frame Sync,Cortex CRT-XL 1 TMUC Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Bit Sync,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,Cortex CRT-XL 2 TMUC PSK Demod,Cortex CRT-XL 2 TMUC Bit Sync,Cortex CRT-XL 2 TMUC Frame Sync,Cortex CRT-XL 2 TMUC Viterbi,X-Band VTR Tracking Receiver Status,Cortex HDR-XXL 1 DMU1 Carrier,Cortex HDR-XXL 1 DMU1 Bit Sync,Cortex HDR-XXL 1 DMU1 Bit Sync Q,Cortex HDR-XXL 1 DMU1 Viterbi,Cortex HDR-XXL 1 DMU1 Viterbi Q,Cortex HDR-XXL 1 DMX1 Frame Sync,Cortex HDR-XXL 1 DPU1 Frame Sync,Cortex HDR-XXL 2 DMU1 Carrier,Cortex HDR-XXL 2 DMU1 Bit Sync,Cortex HDR-XXL 2 DMU1 Bit Sync Q,Cortex HDR-XXL 2 DMU1 Viterbi,Cortex HDR-XXL 2 DMU1 Viterbi Q,Cortex HDR-XXL 2 DMX1 Frame Sync,Cortex HDR-XXL 2 DPU1 Frame Sync,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm),X-Band VTR Tracking Receiver Strength (dBm),Cortex HDR-XXL 1 DMU1 IF Level Strength (dBm),Cortex HDR-XXL 2 DMU1 IF Level Strength (dBm)
2024 236 14:41:28, 301.971, 27.431,301.928, 27.401,5, 31.6, 31.6, 25.6, 18.7,  0.0, 31.0, 19.8, 21.9, 16.3,  0.0, 21.9, 16.4,  0.0, 31.1, 15.0, 18.0, 15.0, 18.0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.4, -75.4, -81.4, -88.3, -107.0, -98.0, -109.2, -49.0, -57.8, -128.0, -49.1, -57.7, -128.0, -87.8, -23.0, -22.5
2024 236 14:41:29, 301.612, 27.387,301.569, 27.356,5, 31.5, 31.5, 25.7, 18.7,  0.0, 31.0, 19.8, 21.7, 16.3,  0.0, 21.6, 16.3,  0.0, 31.1, 15.0, 18.0, 15.0, 18.0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.6, -75.6, -81.3, -88.3, -107.0, -98.0, -109.2, -49.0, -57.8, -128.0, -49.2, -57.8, -128.0, -87.8, -23.0, -22.5
2024 236 14:41:30, 301.251, 27.344,301.210, 27.310,5, 31.4, 31.4, 25.8, 18.9,  0.0, 30.4, 18.3, 21.9, 16.2,  0.0, 21.7, 16.2,  0.0, 31.1, 14.8, 17.8, 15.0, 18.0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.6, -75.6, -81.2, -88.1, -107.0, -98.6, -110.7, -48.8, -57.6, -128.0, -49.0, -57.7, -128.0, -87.8, -23.4, -22.5
2024 236 14:41:31, 300.899, 27.296,300.853, 27.262,5, 31.5, 31.5, 26.3, 19.3,  0.0, 30.4, 18.3, 22.0, 16.4,  0.0, 22.0, 16.4,  0.0, 31.1, 14.8, 17.8, 14.8, 17.8, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.5, -75.5, -80.7, -87.7, -107.0, -98.6, -110.7, -48.3, -57.2, -128.0, -48.6, -57.3, -128.0, -87.8, -23.4, -22.8
2024 236 14:41:32, 300.539, 27.248,300.497, 27.214,5, 31.4, 31.4, 26.7, 19.6,  0.0, 30.4, 18.3, 22.2, 16.4,  0.0, 22.0, 16.4,  0.0, 30.9, 14.8, 17.8, 14.8, 17.8, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.7, -75.7, -80.3, -87.4, -107.0, -98.6, -110.7, -47.8, -57.0, -128.0, -48.1, -57.0, -128.0, -88.0, -23.4, -22.8
2024 236 14:41:33, 300.190, 27.199,300.142, 27.165,5, 31.3, 31.3, 27.2, 19.8,  0.0, 30.4, 18.3, 22.0, 16.4,  0.0, 22.1, 16.4,  0.0, 30.9, 14.8, 17.8, 14.8, 17.8, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.7, -75.7, -79.9, -87.2, -107.0, -98.6, -110.7, -47.4, -56.7, -128.0, -47.7, -56.7, -128.0, -88.0, -23.4, -22.8
2024 236 14:41:34, 299.832, 27.147,299.789, 27.114,5, 31.4, 31.4, 27.3, 19.9,  0.0, 30.4, 18.3, 21.8, 16.4,  0.0, 21.8, 16.4,  0.0, 30.9, 14.8, 17.8, 14.8, 17.8, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.7, -75.7, -79.7, -87.1, -107.0, -98.6, -110.7, -47.1, -56.5, -128.0, -47.3, -56.6, -128.0, -88.0, -23.4, -22.8
2024 236 14:41:35, 299.474, 27.094,299.436, 27.062,5, 31.3, 31.3, 27.4, 20.1,  0.0, 31.9, 19.4, 22.0, 16.3,  0.0, 21.8, 16.3,  0.0, 30.9, 14.8, 17.8, 14.8, 17.8, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.7, -75.7, -79.6, -87.0, -107.0, -97.0, -109.6, -47.0, -56.4, -128.0, -47.1, -56.4, -128.0, -88.0, -23.5, -22.8
2024 236 14:41:36, 299.122, 27.044,299.085, 27.010,5, 31.2, 31.2, 27.6, 20.1,  0.0, 31.9, 19.4, 22.2, 16.4,  0.0, 22.2, 16.4,  0.0, 30.9, 14.8, 17.8, 15.1, 18.1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.8, -75.8, -79.4, -86.9, -107.0, -97.0, -109.6, -46.9, -56.4, -128.0, -47.1, -56.4, -128.0, -88.0, -23.5, -23.1
2024 236 14:41:37, 298.776, 26.991,298.734, 26.956,5, 31.3, 31.3, 27.4, 19.8,  0.0, 31.9, 19.4, 21.9, 16.4,  0.0, 21.8, 16.4,  0.0, 30.8, 14.8, 17.8, 15.1, 18.1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -75.8, -75.8, -79.6, -87.2, -107.0, -97.0, -109.6, -47.0, -56.6, -128.0, -47.2, -56.6, -128.0, -88.2, -23.5, -23.1
