Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 1 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),X-Band VTR Tracking Receiver  Strength (dB),Cortex HDR-XXL 1 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 1 DMU1 Q Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 Q Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR1 Bit Sync,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR2 Bit Sync,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR1 Bit Sync,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR2 Bit Sync,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,X-Band VTR Tracking Receiver Status,Cortex HDR-XXL 1 DMU1 Carrier,Cortex HDR-XXL 1 DMU1 Bit Sync,Cortex HDR-XXL 1 DMU1 Bit Sync Q,Cortex HDR-XXL 1 DMU1 Viterbi,Cortex HDR-XXL 1 DMU1 Viterbi Q,Cortex HDR-XXL 1 DMX1 Frame Sync,Cortex HDR-XXL 1 DPU1 Frame Sync,Cortex HDR-XXL 2 DMU1 Carrier,Cortex HDR-XXL 2 DMU1 Bit Sync,Cortex HDR-XXL 2 DMU1 Bit Sync Q,Cortex HDR-XXL 2 DMU1 Viterbi,Cortex HDR-XXL 2 DMU1 Viterbi Q,Cortex HDR-XXL 2 DMX1 Frame Sync,Cortex HDR-XXL 2 DPU1 Frame Sync,PTP 1 Input 1 Status,PTP 1 Input 2 Status,PTP 1 Input 3 Status,PTP 1 Input 4 Status,PTP 1 Input 5 Status,PTP 2 Input 1 Status,PTP 2 Input 2 Status,PTP 2 Input 3 Status,PTP 2 Input 4 Status,PTP 2 Input 5 Status,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm),X-Band VTR Tracking Receiver Strength (dBm),Cortex HDR-XXL 1 DMU1 IF Level Strength (dBm),Cortex HDR-XXL 2 DMU1 IF Level Strength (dBm)
2024 235 19:06:01, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.3, -0.4, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -4.0, -128.0, -128.0, -4.2, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.4, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:06:03, 355.066, 83.160,355.066, 83.160,0, -0.1, -0.3, -0.5, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -3.9, -128.0, -26.6, -4.1, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -70.8, -128.0, -119.3, -76.5, -74.3
2024 235 19:06:04, 355.066, 83.146,355.066, 83.146,0, -0.1, -0.4, -0.5, -0.1,  0.0, -0.5, -0.3, -128.0, -25.2, -4.1, -128.0, -128.0, -4.1, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.4, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -70.8, -128.0, -128.0, -128.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:06:05, 355.066, 83.146,355.066, 83.146,0, -0.0, -0.3, -0.4, -0.0,  0.0, -0.5, -0.3, -128.0, -128.0, -4.1, -128.0, -26.6, -4.2, -0.3, -7.3, -5.4, -7.4, -6.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.0, -107.3, -107.4, -107.0, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -73.0, -128.0, -119.3, -76.5, -74.3
2024 235 19:06:06, 355.066, 83.146,355.066, 83.146,0, -0.1, -0.4, -0.4, -0.1, -0.0, -0.5, -0.3, -128.0, -128.0, -4.1, -128.0, -24.7, -4.3, -0.3, -8.5, -10.2, -9.5, -8.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.4, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -70.9, -128.0, -119.3, -76.3, -74.4
2024 235 19:06:07, 355.066, 83.146,355.066, 83.146,0, -0.1, -0.4, -0.4, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -128.0, -128.0, -4.2, -0.3, -8.5, -10.2, -9.5, -8.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.4, -107.4, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -119.3, -76.3, -74.4
2024 235 19:06:08, 355.066, 83.146,355.066, 83.146,0, -0.2, -0.4, -0.6, -0.2,  0.0, -0.5, -0.3, -128.0, -23.3, -3.9, -128.0, -128.0, -4.2, -0.3, -8.5, -10.2, -9.5, -8.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.2, -107.4, -107.6, -107.2, -107.0, -135.5, -129.3, -128.0, -70.7, -128.0, -128.0, -128.0, -128.0, -119.3, -76.3, -74.4
2024 235 19:06:09, 355.339, 83.146,355.339, 83.146,0, -0.1, -0.3, -0.5, -0.1,  0.0, -0.5, -0.3, -128.0, -128.0, -4.0, -7.7, -128.0, -4.2, -0.3, -8.5, -10.2, -9.5, -8.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -74.9, -128.0, -128.0, -119.3, -76.3, -74.4
2024 235 19:06:10, 358.677, 83.146,358.677, 83.146,0, -0.1, -0.3, -0.5, -0.1, -0.0, -0.5, -0.3, -128.0, -128.0, -4.2, -18.4, -22.7, -4.2, -0.3, -8.5, -10.2, -9.5, -8.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.1, -107.3, -107.5, -107.1, -107.0, -135.5, -129.3, -128.0, -128.0, -128.0, -74.7, -70.1, -128.0, -119.3, -76.3, -74.4
2024 235 19:06:11,   3.232, 83.146,  3.232, 83.146,0, -0.1, -0.3, -0.5, -0.1,  0.0, -0.5, -0.3, -128.0, -26.5, -4.2, -128.0, -128.0, -4.1, -0.3, -8.4, -8.7, -7.6, -5.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107.2, -107.3, -107.5, -107.2, -107.0, -135.5, -129.3, -128.0, -70.2, -128.0, -128.0, -128.0, -128.0, -119.3, -76.5, -74.3
