Timestamp,Actual Az.,Actual El.,Commanded Az.,Commanded El.,Autotrack Status,Antenna Control Unit Selected Rcvr Strength (dB),Antenna Control Unit X-Band Strength (dB),Antenna Control Unit S-LHC Strength (dB),Antenna Control Unit S-RHC Strength (dB),Antenna Control Unit Rcvr 4 Strength (dB),S-Band LHCP VTR Tracking Receiver  Strength (dB),S-Band RHCP VTR Tracking Receiver  Strength (dB),Cortex CRT-XL 1 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 1 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 1 TMUB Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR1 Eb/N0 Strength (dB),Cortex CRT-XL 2 IFR2 Eb/N0 Strength (dB),Cortex CRT-XL 2 TMUB Eb/N0 Strength (dB),X-Band VTR Tracking Receiver  Strength (dB),Cortex HDR-XXL 1 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 1 DMU1 Q Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 I Eb/N0 Strength (dB),Cortex HDR-XXL 2 DMU1 Q Eb/N0 Strength (dB),S-Band LHCP VTR Tracking Receiver Status,S-Band RHCP VTR Tracking Receiver Status,Cortex CRT-XL 1 IFR1 PLL Status,Cortex CRT-XL 1 IFR1 Bit Sync,Cortex CRT-XL 1 IFR2 PLL Status,Cortex CRT-XL 1 IFR2 Bit Sync,Cortex CRT-XL 1 IFR3 PLL Status,Cortex CRT-XL 1 TMUA PSK Demod,Cortex CRT-XL 1 TMUA Frame Sync,Cortex CRT-XL 1 TMUA Viterbi,Cortex CRT-XL 1 TMUB PSK Demod,Cortex CRT-XL 1 TMUB Bit Sync,Cortex CRT-XL 1 TMUB Frame Sync,Cortex CRT-XL 1 TMUB Viterbi,Cortex CRT-XL 2 IFR1 PLL Status,Cortex CRT-XL 2 IFR1 Bit Sync,Cortex CRT-XL 2 IFR2 PLL Status,Cortex CRT-XL 2 IFR2 Bit Sync,Cortex CRT-XL 2 IFR3 PLL Status,Cortex CRT-XL 2 TMUA PSK Demod,Cortex CRT-XL 2 TMUA Frame Sync,Cortex CRT-XL 2 TMUA Viterbi,Cortex CRT-XL 2 TMUB PSK Demod,Cortex CRT-XL 2 TMUB Bit Sync,Cortex CRT-XL 2 TMUB Frame Sync,Cortex CRT-XL 2 TMUB Viterbi,X-Band VTR Tracking Receiver Status,Cortex HDR-XXL 1 DMU1 Carrier,Cortex HDR-XXL 1 DMU1 Bit Sync,Cortex HDR-XXL 1 DMU1 Bit Sync Q,Cortex HDR-XXL 1 DMU1 Viterbi,Cortex HDR-XXL 1 DMU1 Viterbi Q,Cortex HDR-XXL 1 DMX1 Frame Sync,Cortex HDR-XXL 1 DPU1 Frame Sync,Cortex HDR-XXL 2 DMU1 Carrier,Cortex HDR-XXL 2 DMU1 Bit Sync,Cortex HDR-XXL 2 DMU1 Bit Sync Q,Cortex HDR-XXL 2 DMU1 Viterbi,Cortex HDR-XXL 2 DMU1 Viterbi Q,Cortex HDR-XXL 2 DMX1 Frame Sync,Cortex HDR-XXL 2 DPU1 Frame Sync,PTP 1 Input 1 Status,PTP 1 Input 2 Status,PTP 1 Input 3 Status,PTP 1 Input 4 Status,PTP 1 Input 5 Status,PTP 2 Input 1 Status,PTP 2 Input 2 Status,PTP 2 Input 3 Status,PTP 2 Input 4 Status,PTP 2 Input 5 Status,Antenna Control Unit Selected Rcvr Strength (dBm),Antenna Control Unit X-Band Strength (dBm),Antenna Control Unit S-LHC Strength (dBm),Antenna Control Unit S-RHC Strength (dBm),Antenna Control Unit Rcvr 4 Strength (dBm),S-Band LHCP VTR Tracking Receiver Strength (dBm),S-Band RHCP VTR Tracking Receiver Strength (dBm),Cortex CRT-XL 1 IFR1 IF Level Strength (dBm),Cortex CRT-XL 1 IFR2 IF Level Strength (dBm),Cortex CRT-XL 1 IFR3 IF Level Strength (dBm),Cortex CRT-XL 2 IFR1 IF Level Strength (dBm),Cortex CRT-XL 2 IFR2 IF Level Strength (dBm),Cortex CRT-XL 2 IFR3 IF Level Strength (dBm),X-Band VTR Tracking Receiver Strength (dBm),Cortex HDR-XXL 1 DMU1 IF Level Strength (dBm),Cortex HDR-XXL 2 DMU1 IF Level Strength (dBm)
2024 234 12:31:17,  20.982, 17.961, 21.002, 17.940,5, 34.4, 34.4, -5.2,  0.0,  0.0, -0.2, -0.2, -128.0, -128.0, -4.3, -128.0, -128.0, -4.2, 33.9, 18.1, 21.1, 18.5, 21.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.6, -72.6, -112.2, -107.0, -107.0, -129.2, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.1, -17.0, -16.6
2024 234 12:31:18,  21.000, 18.105, 21.015, 18.084,5, 34.4, 34.4, -5.1, -0.0,  0.0, -0.2, -0.2, -128.0, -128.0, -4.1, -128.0, -128.0, -4.2, 33.9, 18.1, 21.1, 18.5, 21.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.6, -72.6, -112.1, -107.0, -107.0, -129.2, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.1, -17.0, -16.6
2024 234 12:31:19,  21.002, 18.223, 21.025, 18.203,5, 34.4, 34.4, -5.2,  0.1,  0.0, -0.2, -0.2, -128.0, -128.0, -4.2, -128.0, -128.0, -4.2, 33.9, 18.1, 21.1, 18.5, 21.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.6, -72.6, -112.2, -107.0, -107.0, -129.2, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.1, -17.0, -16.6
2024 234 12:31:20,  21.018, 18.349, 21.037, 18.335,5, 34.6, 34.6, -5.2,  0.0,  0.0, -0.2, -0.2, -128.0, -128.0, -4.3, -128.0, -128.0, -4.2, 33.9, 18.1, 21.1, 18.5, 21.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.4, -72.4, -112.2, -107.0, -107.0, -129.2, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.1, -17.0, -16.6
2024 234 12:31:21,  21.030, 18.516, 21.051, 18.495,5, 34.4, 34.4, -5.2,  0.0,  0.0, -0.2, -0.2, -7.0, -128.0, -4.2, -128.0, -10.7, -4.3, 33.9, 18.3, 21.3, 18.4, 21.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.6, -72.6, -112.2, -107.0, -107.0, -129.2, -129.1, -74.1, -128.0, -128.0, -128.0, -72.3, -128.0, -85.1, -17.0, -16.7
2024 234 12:31:22,  21.039, 18.649, 21.063, 18.630,5, 34.6, 34.6, -5.2,  0.1,  0.0, -0.3, -0.2, -128.0, -128.0, -4.1, -128.0, -128.0, -4.1, 34.0, 18.3, 21.3, 18.4, 21.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.4, -72.4, -112.2, -107.0, -107.0, -129.3, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.0, -17.0, -16.7
2024 234 12:31:23,  21.057, 18.778, 21.073, 18.751,5, 34.4, 34.4, -5.2,  0.1,  0.0, -0.3, -0.2, -128.0, -128.0, -4.1, -128.0, -128.0, -4.1, 34.0, 18.3, 21.3, 18.4, 21.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.6, -72.6, -112.2, -107.0, -107.0, -129.3, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.0, -17.0, -16.7
2024 234 12:31:24,  21.059, 18.906, 21.085, 18.887,5, 34.8, 34.8, -5.2,  0.1,  0.0, -0.3, -0.2, -128.0, -128.0, -4.1, -128.0, -128.0, -4.1, 34.0, 18.3, 21.3, 18.4, 21.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.3, -72.3, -112.2, -106.9, -107.0, -129.3, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.0, -17.0, -16.7
2024 234 12:31:25,  21.081, 19.041, 21.097, 19.024,5, 34.8, 34.8, -5.2,  0.0,  0.0, -0.3, -0.2, -128.0, -128.0, -4.2, -128.0, -128.0, -4.1, 34.0, 18.3, 21.3, 18.4, 21.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.2, -72.2, -112.2, -107.0, -107.0, -129.3, -129.1, -128.0, -128.0, -128.0, -128.0, -128.0, -128.0, -85.0, -17.0, -16.7
2024 234 12:31:26,  21.085, 19.182, 21.109, 19.161,5, 34.8, 34.8, -5.2,  0.1,  0.0, -0.3, -0.2, -12.7, -128.0, -4.2, -128.0, -128.0, -4.1, 34.0, 18.2, 21.2, 18.3, 21.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72.2, -72.2, -112.2, -106.9, -107.0, -129.3, -129.1, -73.9, -128.0, -128.0, -128.0, -128.0, -128.0, -85.0, -16.6, -16.3
